date,CCI
2015-05-13,-93.6868
2015-05-14,-59.2308
2015-05-15,-70.1819
2015-05-18,-83.139
2015-05-19,-55.0922
2015-05-20,-47.9682
2015-05-21,-33.9689
2015-05-22,-30.1712
2015-05-26,-71.667
2015-05-27,-48.9251
2015-05-28,-37.9612
2015-05-29,-66.2731
2015-06-01,-68.4662
2015-06-02,-37.4663
2015-06-03,-17.6661
2015-06-04,-39.4125
2015-06-05,-60.018
2015-06-08,-99.8108
2015-06-09,-119.2186
2015-06-10,-49.9677
2015-06-11,-42.7591
2015-06-12,-72.4597
2015-06-15,-117.9273
2015-06-16,-105.8968
2015-06-17,-99.1071
2015-06-18,-30.5649
2015-06-19,-19.1881
2015-06-22,29.0988
2015-06-23,23.343
2015-06-24,11.0433
2015-06-25,4.6539
2015-06-26,-41.8773
2015-06-29,-171.3579
2015-06-30,-176.4004
2015-07-01,-172.8898
2015-07-02,-151.9298
2015-07-06,-152.357
2015-07-07,-148.0567
2015-07-08,-179.3265
2015-07-09,-139.4304
2015-07-10,-54.5848
2015-07-13,78.7858
2015-07-14,234.1976
2015-07-15,248.9477
2015-07-16,345.3368
2015-07-17,834.652
2015-07-20,628.7652
2015-07-21,519.4078
2015-07-22,439.4186
2015-07-23,325.3855
2015-07-24,238.4713
2015-07-27,203.9542
2015-07-28,186.6451
2015-07-29,173.3662
2015-07-30,160.8896
2015-07-31,145.4856
2015-08-03,138.9494
2015-08-04,130.9387
2015-08-05,140.8809
2015-08-06,129.6517
2015-08-07,115.5848
2015-08-10,109.5803
2015-08-11,141.7138
2015-08-12,127.5253
2015-08-13,118.7714
2015-08-14,111.477
2015-08-17,107.7164
2015-08-18,102.6995
2015-08-19,101.4836
2015-08-20,85.6636
2015-08-21,48.0026
2015-08-24,7.8439
2015-08-25,11.6531
2015-08-26,42.7869
2015-08-27,59.0163
2015-08-28,52.4938
2015-08-31,42.557
2015-09-01,13.091
2015-09-02,21.8142
2015-09-03,20.6948
2015-09-04,6.3985
2015-09-08,21.1491
2015-09-09,26.0354
2015-09-10,28.4169
2015-09-11,32.7935
2015-09-14,31.1575
2015-09-15,44.5865
2015-09-16,47.7493
2015-09-17,58.5512
2015-09-18,39.3737
2015-09-21,38.9346
2015-09-22,18.1699
2015-09-23,19.569
2015-09-24,13.4018
2015-09-25,1.3755
